Status,Declaration Name,File Path,Line Number,Last Modified,Age (Months),Age (Days),Last Commit
⚠️,"MarkdownText","markdown/core/src/main/kotlin/org/jetbrains/jewel/markdown/MarkdownText.kt",114,2025-08-20,4,140,"f315153d041260694602209a97c317394865a3cc"
⚠️,"LocalCodeHighlighter","foundation/src/main/kotlin/org/jetbrains/jewel/foundation/code/highlighting/CodeHighlighter.kt",32,2025-08-20,4,140,"f315153d041260694602209a97c317394865a3cc"
⚠️,"NoOpCodeHighlighter","foundation/src/main/kotlin/org/jetbrains/jewel/foundation/code/highlighting/NoOpCodeHighlighter.kt",10,2025-08-20,4,140,"f315153d041260694602209a97c317394865a3cc"
⚠️,"LocalComponent","foundation/src/main/kotlin/org/jetbrains/jewel/foundation/LocalComponent.kt",9,2025-08-15,4,145,"76240357c672a6c5f91df15d0ebcf5a675cffacf"
⚠️,"TextArea","ui/src/main/kotlin/org/jetbrains/jewel/ui/component/TextArea.kt",250,2025-07-25,5,166,"3c1387b5819d0fc169ec4224cd3e9e8d52b05c92"
⚠️,"LocalTransparentIconButtonStyle","ui/src/main/kotlin/org/jetbrains/jewel/ui/component/styling/IconButtonStyling.kt",279,2025-07-16,5,175,"cee85e68a926c37874e7d8a39e37b86c306f79bf"
⚠️,"Font","ui/src/main/kotlin/org/jetbrains/jewel/ui/component/Typography.kt",265,2025-07-14,5,177,"4dc3943e41c57078bc536f7e837357b6c86b2a86"
⚠️,"FixedCursorPoint","ui/src/main/kotlin/org/jetbrains/jewel/ui/component/Tooltip.kt",190,2025-07-15,5,176,"6eb4c859ff78d64520034e698dd856c1020d8971"
⚠️,"rememberPopupPositionProviderAtFixedPosition","ui/src/main/kotlin/org/jetbrains/jewel/ui/component/Tooltip.kt",218,2025-07-15,5,176,"6eb4c859ff78d64520034e698dd856c1020d8971"
⚠️,"JewelTheme","ui/src/main/kotlin/org/jetbrains/jewel/ui/theme/JewelTheme.kt",183,2025-07-16,5,175,"cee85e68a926c37874e7d8a39e37b86c306f79bf"
⚠️,"LocalMarkdownStyling","markdown/core/src/main/kotlin/org/jetbrains/jewel/markdown/extensions/Markdown.kt",14,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"JewelTheme","markdown/core/src/main/kotlin/org/jetbrains/jewel/markdown/extensions/Markdown.kt",20,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"LocalMarkdownProcessor","markdown/core/src/main/kotlin/org/jetbrains/jewel/markdown/extensions/Markdown.kt",23,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"JewelTheme","markdown/core/src/main/kotlin/org/jetbrains/jewel/markdown/extensions/Markdown.kt",31,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"LocalMarkdownBlockRenderer","markdown/core/src/main/kotlin/org/jetbrains/jewel/markdown/extensions/Markdown.kt",34,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"JewelTheme","markdown/core/src/main/kotlin/org/jetbrains/jewel/markdown/extensions/Markdown.kt",42,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"LocalMarkdownMode","markdown/core/src/main/kotlin/org/jetbrains/jewel/markdown/extensions/Markdown.kt",45,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"JewelTheme","markdown/core/src/main/kotlin/org/jetbrains/jewel/markdown/extensions/Markdown.kt",53,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"MarkdownBlockProcessorExtension","markdown/core/src/main/kotlin/org/jetbrains/jewel/markdown/extensions/MarkdownBlockProcessorExtension.kt",9,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"MarkdownDelimitedInlineProcessorExtension","markdown/core/src/main/kotlin/org/jetbrains/jewel/markdown/extensions/MarkdownDelimitedInlineProcessorExtension.kt",9,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"MarkdownBlockRendererExtension","markdown/core/src/main/kotlin/org/jetbrains/jewel/markdown/extensions/MarkdownBlockRendererExtension.kt",12,2025-08-04,5,156,"312aff9759286cb44925b90a74beafbb83916aec"
⚠️,"Heading","markdown/core/src/main/kotlin/org/jetbrains/jewel/markdown/MarkdownBlock.kt",80,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"Paragraph","markdown/core/src/main/kotlin/org/jetbrains/jewel/markdown/MarkdownBlock.kt",250,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"ScrollSyncMarkdownBlockRenderer","markdown/core/src/main/kotlin/org/jetbrains/jewel/markdown/scrolling/ScrollSyncMarkdownBlockRenderer.kt",42,2025-08-04,5,156,"312aff9759286cb44925b90a74beafbb83916aec"
⚠️,"DefaultInlineMarkdownRenderer","markdown/core/src/main/kotlin/org/jetbrains/jewel/markdown/rendering/DefaultInlineMarkdownRenderer.kt",23,2025-07-29,5,162,"dcfb4bf1481a7b8673b95acebd04959627c6af08"
⚠️,"LocalMarkdownImageSourceResolver","markdown/core/src/main/kotlin/org/jetbrains/jewel/markdown/rendering/ImageSourceResolver.kt",163,2025-07-22,5,169,"9705998eb92703bebc6bcd4ca9d0caf4734e6edf"
⚠️,"Paragraph","markdown/core/src/main/kotlin/org/jetbrains/jewel/markdown/rendering/MarkdownStyling.kt",47,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"InlineMarkdownRenderer","markdown/core/src/main/kotlin/org/jetbrains/jewel/markdown/rendering/InlineMarkdownRenderer.kt",9,2025-08-04,5,156,"312aff9759286cb44925b90a74beafbb83916aec"
⚠️,"InlineMarkdownRenderer","markdown/core/src/main/kotlin/org/jetbrains/jewel/markdown/rendering/InlineMarkdownRenderer.kt",42,2025-07-29,5,162,"dcfb4bf1481a7b8673b95acebd04959627c6af08"
⚠️,"SemanticsPropertyReceiver","markdown/core/src/main/kotlin/org/jetbrains/jewel/markdown/Semantics.kt",19,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"EditorPreview","markdown/core/src/main/kotlin/org/jetbrains/jewel/markdown/MarkdownMode.kt",21,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"GitHubTableRendererExtension","markdown/extensions/gfm-tables/src/main/kotlin/org/jetbrains/jewel/markdown/extensions/github/tables/GitHubTableRendererExtension.kt",10,2025-08-04,5,156,"312aff9759286cb44925b90a74beafbb83916aec"
⚠️,"GitHubTableBlockRenderer","markdown/extensions/gfm-tables/src/main/kotlin/org/jetbrains/jewel/markdown/extensions/github/tables/GitHubTableBlockRenderer.kt",26,2025-08-04,5,156,"312aff9759286cb44925b90a74beafbb83916aec"
